0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
23252,<b>,2023-01-07 08:00:00,2023-01-07 09:00:00,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23255,<b>,2023-01-07 10:00:00,2023-01-07 12:00:00,2023-01-07 15:00:00,2023-01-07 17:00:00,<e>,<b>,2023-01-24 09:00:00,2023-01-24 11:00:00,2023-01-24 14:00:00,<e>,<b>,2023-01-26 10:00:00,2023-01-26 12:00:00,2023-01-26 13:00:00,2023-01-26 14:00:00,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23256,<b>,2023-01-07 17:00:00,2023-01-07 18:00:00,<e>,<b>,2023-01-10 06:00:00,2023-01-10 12:00:00,2023-01-10 18:00:00,<e>,<b>,2023-01-27 06:00:00,2023-01-27 15:00:00,2023-01-27 17:00:00,2023-01-27 18:00:00,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23259,<b>,2023-01-07 09:00:00,2023-01-07 12:00:00,2023-01-07 14:00:00,2023-01-07 15:00:00,<e>,<b>,2023-01-11 08:00:00,2023-01-11 18:00:00,2023-01-11 18:00:00,<e>,<b>,2023-01-27 08:00:00,2023-01-27 14:00:00,2023-01-27 14:00:00,2023-01-27 16:00:00,2023-01-27 23:00:00,<e>,<b>,2023-01-30 08:00:00,2023-01-30 18:00:00,2023-01-30 19:00:00,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23260,<b>,2023-01-07 13:00:00,2023-01-07 13:00:00,2023-01-07 14:00:00,2023-01-07 17:00:00,<e>,<b>,2023-01-08 08:00:00,2023-01-08 09:00:00,2023-01-08 10:00:00,2023-01-08 10:00:00,2023-01-08 18:00:00,2023-01-08 18:00:00,<e>,<b>,2023-01-09 08:00:00,2023-01-09 08:00:00,2023-01-09 12:00:00,2023-01-09 12:00:00,2023-01-09 13:00:00,<e>,<b>,2023-01-10 09:00:00,2023-01-10 10:00:00,<e>,<b>,2023-01-11 05:00:00,2023-01-11 07:00:00,<e>,<b>,2023-01-12 06:00:00,2023-01-12 06:00:00,2023-01-12 06:00:00,<e>,<b>,2023-01-13 06:00:00,2023-01-13 07:00:00,<e>,<b>,2023-01-24 06:00:00,2023-01-24 07:00:00,<e>,<b>,2023-01-25 08:00:00,2023-01-25 09:00:00,<e>,<b>,2023-01-26 07:00:00,2023-01-26 08:00:00,<e>,<b>,2023-01-27 06:00:00,2023-01-27 07:00:00,<e>,<b>,2023-01-28 08:00:00,2023-01-28 09:00:00,2023-01-28 10:00:00,<e>,<b>,2023-01-29 10:00:00,2023-01-29 11:00:00,2023-01-29 12:00:00,2023-01-29 16:00:00,<e>,<b>,2023-01-30 08:00:00,2023-01-30 09:00:00,<e>,
23253,<b>,2023-01-08 12:00:00,2023-01-08 15:00:00,2023-01-08 15:00:00,2023-01-08 16:00:00,<e>,<b>,2023-01-09 13:00:00,2023-01-09 17:00:00,<e>,<b>,2023-01-29 17:00:00,2023-01-29 18:00:00,<e>,<b>,2023-01-30 09:00:00,2023-01-30 11:00:00,2023-01-30 18:00:00,2023-01-30 19:00:00,2023-01-30 19:00:00,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23254,<b>,2023-01-08 08:00:00,2023-01-08 13:00:00,<e>,<b>,2023-01-09 09:00:00,2023-01-09 11:00:00,<e>,<b>,2023-01-28 16:00:00,2023-01-28 17:00:00,<e>,<b>,2023-01-29 10:00:00,2023-01-29 12:00:00,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23257,<b>,2023-01-08 08:00:00,2023-01-08 10:00:00,2023-01-08 11:00:00,2023-01-08 13:00:00,<e>,<b>,2023-01-26 11:00:00,2023-01-26 13:00:00,<e>,<b>,2023-01-28 08:00:00,2023-01-28 10:00:00,2023-01-28 12:00:00,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
