0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
23252,<b>,5,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23255,<b>,2,1,5,1,<e>,<b>,2,2,1,<e>,<b>,3,2,3.0,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23256,<b>,2,1,<e>,<b>,4,3,1,<e>,<b>,3,4,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23259,<b>,5,2,2,1,<e>,<b>,3,5,1,<e>,<b>,3,2,5,2.0,1,<e>,<b>,3.0,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23260,<b>,2,1,5,1,<e>,<b>,2,2,2,1,5,1,<e>,<b>,2.0,1,5,2,1.0,<e>,<b>,2,1.0,<e>,<b>,5.0,1.0,<e>,<b>,2.0,2.0,1.0,<e>,<b>,2.0,1.0,<e>,<b>,5.0,1.0,<e>,<b>,5.0,1.0,<e>,<b>,2.0,1.0,<e>,<b>,5.0,1.0,<e>,<b>,2.0,2.0,1.0,<e>,<b>,2.0,2.0,5.0,1.0,<e>,<b>,5.0,1.0,<e>,
23253,<b>,2,5,2,1,<e>,<b>,2,1,<e>,<b>,2.0,1,<e>,<b>,5.0,3,2,2.0,1.0,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23254,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1.0,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23257,<b>,2,2,2,1,<e>,<b>,2,1,<e>,<b>,2,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
